sample_id,source_id,active_layer,slot_index,declared_source_area_m2,package_power_fraction,source_power_W,surface_power_density_W_m2,surface_power_density_W_cm2,realized_source_control_volume_m3,q_W_m3,covered_control_volume_count,covered_x_node_count,covered_y_node_count,covered_z_node_count,resolved_x_interval_count,resolved_y_interval_count,group_id,split_role
p1e_g00_t2_b2_p0,src_02,silicon_die_upper,0,5.80264260288067e-06,0.2708914290568638,0.5417828581137276,93368.29703155669,9.336829703155669,7.989501953125002e-10,678118437.5351651,952,14,17,4,13,16,p1e_g00,train
p1e_g00_t2_b2_p1,src_00,silicon_die_lower,9,5.651257697600464e-06,0.5,3.0,530855.2822274953,53.08552822274953,6.427001953124985e-10,4667806267.806278,702,13,18,3,12,17,p1e_g00,train
p1e_g00_t2_b2_p1,src_01,silicon_die_upper,9,5.202763318143427e-06,0.22910857094313622,1.3746514256588174,264215.6372681879,26.42156372681879,6.982421875e-10,1968731552.2722082,832,13,16,4,12,15,p1e_g00,train
p1e_g00_t2_b2_p1,src_02,silicon_die_upper,0,5.80264260288067e-06,0.2708914290568638,1.6253485743411829,280104.89109467005,28.010489109467006,7.989501953125002e-10,2034355312.6054952,952,14,17,4,13,16,p1e_g00,train
p1e_g00_t2_b2_p2,src_00,silicon_die_lower,9,5.651257697600464e-06,0.5,5.0,884758.8037124923,88.47588037124923,6.427001953124985e-10,7779677113.010465,702,13,18,3,12,17,p1e_g00,train
p1e_g00_t2_b2_p2,src_01,silicon_die_upper,9,5.202763318143427e-06,0.22910857094313622,2.2910857094313624,440359.39544697985,44.03593954469798,6.982421875e-10,3281219253.787014,832,13,16,4,12,15,p1e_g00,train
p1e_g00_t2_b2_p2,src_02,silicon_die_upper,0,5.80264260288067e-06,0.2708914290568638,2.708914290568638,466841.48515778343,46.68414851577835,7.989501953125002e-10,3390592187.6758256,952,14,17,4,13,16,p1e_g00,train
p1e_g00_t2_b2_p3,src_00,silicon_die_lower,9,5.651257697600464e-06,0.5,7.0,1238662.3251974892,123.86623251974892,6.427001953124985e-10,10891547958.214651,702,13,18,3,12,17,p1e_g00,train
p1e_g00_t2_b2_p3,src_01,silicon_die_upper,9,5.202763318143427e-06,0.22910857094313622,3.207519993203907,616503.1536257718,61.650315362577174,6.982421875e-10,4593706955.301819,832,13,16,4,12,15,p1e_g00,train
p1e_g00_t2_b2_p3,src_02,silicon_die_upper,0,5.80264260288067e-06,0.2708914290568638,3.7924800067960933,653578.0792208968,65.35780792208968,7.989501953125002e-10,4746829062.746156,952,14,17,4,13,16,p1e_g00,train
p1e_g00_t2_b3_p0,src_00,silicon_die_lower,9,5.651257697600464e-06,0.5,1.0,176951.76074249845,17.695176074249844,6.427001953124985e-10,1555935422.602093,702,13,18,3,12,17,p1e_g00,train
p1e_g00_t2_b3_p0,src_01,silicon_die_upper,9,5.202763318143427e-06,0.22910857094313622,0.45821714188627244,88071.87908939597,8.807187908939596,6.982421875e-10,656243850.7574028,832,13,16,4,12,15,p1e_g00,train
p1e_g00_t2_b3_p0,src_02,silicon_die_upper,0,5.80264260288067e-06,0.2708914290568638,0.5417828581137276,93368.29703155669,9.336829703155669,7.989501953125002e-10,678118437.5351651,952,14,17,4,13,16,p1e_g00,train
p1e_g00_t2_b3_p1,src_00,silicon_die_lower,9,5.651257697600464e-06,0.5,3.0,530855.2822274953,53.08552822274953,6.427001953124985e-10,4667806267.806278,702,13,18,3,12,17,p1e_g00,train
p1e_g00_t2_b3_p1,src_01,silicon_die_upper,9,5.202763318143427e-06,0.22910857094313622,1.3746514256588174,264215.6372681879,26.42156372681879,6.982421875e-10,1968731552.2722082,832,13,16,4,12,15,p1e_g00,train
p1e_g00_t2_b3_p1,src_02,silicon_die_upper,0,5.80264260288067e-06,0.2708914290568638,1.6253485743411829,280104.89109467005,28.010489109467006,7.989501953125002e-10,2034355312.6054952,952,14,17,4,13,16,p1e_g00,train
p1e_g00_t2_b3_p2,src_00,silicon_die_lower,9,5.651257697600464e-06,0.5,5.0,884758.8037124923,88.47588037124923,6.427001953124985e-10,7779677113.010465,702,13,18,3,12,17,p1e_g00,train
p1e_g00_t2_b3_p2,src_01,silicon_die_upper,9,5.202763318143427e-06,0.22910857094313622,2.2910857094313624,440359.39544697985,44.03593954469798,6.982421875e-10,3281219253.787014,832,13,16,4,12,15,p1e_g00,train
p1e_g00_t2_b3_p2,src_02,silicon_die_upper,0,5.80264260288067e-06,0.2708914290568638,2.708914290568638,466841.48515778343,46.68414851577835,7.989501953125002e-10,3390592187.6758256,952,14,17,4,13,16,p1e_g00,train
p1e_g00_t2_b3_p3,src_00,silicon_die_lower,9,5.651257697600464e-06,0.5,7.0,1238662.3251974892,123.86623251974892,6.427001953124985e-10,10891547958.214651,702,13,18,3,12,17,p1e_g00,train
p1e_g00_t2_b3_p3,src_01,silicon_die_upper,9,5.202763318143427e-06,0.22910857094313622,3.207519993203907,616503.1536257718,61.650315362577174,6.982421875e-10,4593706955.301819,832,13,16,4,12,15,p1e_g00,train
p1e_g00_t2_b3_p3,src_02,silicon_die_upper,0,5.80264260288067e-06,0.2708914290568638,3.7924800067960933,653578.0792208968,65.35780792208968,7.989501953125002e-10,4746829062.746156,952,14,17,4,13,16,p1e_g00,train
p1e_g00_t3_b0_p0,src_00,silicon_die_lower,9,5.651257697600464e-06,0.5,1.0,176951.76074249845,17.695176074249844,6.427001953124985e-10,1555935422.602093,702,13,18,3,12,17,p1e_g00,train
p1e_g00_t3_b0_p0,src_01,silicon_die_upper,9,5.202763318143427e-06,0.22910857094313622,0.45821714188627244,88071.87908939597,8.807187908939596,6.982421875e-10,656243850.7574028,832,13,16,4,12,15,p1e_g00,train
p1e_g00_t3_b0_p0,src_02,silicon_die_upper,0,5.80264260288067e-06,0.2708914290568638,0.5417828581137276,93368.29703155669,9.336829703155669,7.989501953125002e-10,678118437.5351651,952,14,17,4,13,16,p1e_g00,train
p1e_g00_t3_b0_p1,src_00,silicon_die_lower,9,5.651257697600464e-06,0.5,3.0,530855.2822274953,53.08552822274953,6.427001953124985e-10,4667806267.806278,702,13,18,3,12,17,p1e_g00,train
p1e_g00_t3_b0_p1,src_01,silicon_die_upper,9,5.202763318143427e-06,0.22910857094313622,1.3746514256588174,264215.6372681879,26.42156372681879,6.982421875e-10,1968731552.2722082,832,13,16,4,12,15,p1e_g00,train
p1e_g00_t3_b0_p1,src_02,silicon_die_upper,0,5.80264260288067e-06,0.2708914290568638,1.6253485743411829,280104.89109467005,28.010489109467006,7.989501953125002e-10,2034355312.6054952,952,14,17,4,13,16,p1e_g00,train
p1e_g00_t3_b0_p2,src_00,silicon_die_lower,9,5.651257697600464e-06,0.5,5.0,884758.8037124923,88.47588037124923,6.427001953124985e-10,7779677113.010465,702,13,18,3,12,17,p1e_g00,train
p1e_g00_t3_b0_p2,src_01,silicon_die_upper,9,5.202763318143427e-06,0.22910857094313622,2.2910857094313624,440359.39544697985,44.03593954469798,6.982421875e-10,3281219253.787014,832,13,16,4,12,15,p1e_g00,train
p1e_g00_t3_b0_p2,src_02,silicon_die_upper,0,5.80264260288067e-06,0.2708914290568638,2.708914290568638,466841.48515778343,46.68414851577835,7.989501953125002e-10,3390592187.6758256,952,14,17,4,13,16,p1e_g00,train
p1e_g00_t3_b0_p3,src_00,silicon_die_lower,9,5.651257697600464e-06,0.5,7.0,1238662.3251974892,123.86623251974892,6.427001953124985e-10,10891547958.214651,702,13,18,3,12,17,p1e_g00,train
p1e_g00_t3_b0_p3,src_01,silicon_die_upper,9,5.202763318143427e-06,0.22910857094313622,3.207519993203907,616503.1536257718,61.650315362577174,6.982421875e-10,4593706955.301819,832,13,16,4,12,15,p1e_g00,train
p1e_g00_t3_b0_p3,src_02,silicon_die_upper,0,5.80264260288067e-06,0.2708914290568638,3.7924800067960933,653578.0792208968,65.35780792208968,7.989501953125002e-10,4746829062.746156,952,14,17,4,13,16,p1e_g00,train
p1e_g00_t3_b1_p0,src_00,silicon_die_lower,9,5.651257697600464e-06,0.5,1.0,176951.76074249845,17.695176074249844,6.427001953124985e-10,1555935422.602093,702,13,18,3,12,17,p1e_g00,train
p1e_g00_t3_b1_p0,src_01,silicon_die_upper,9,5.202763318143427e-06,0.22910857094313622,0.45821714188627244,88071.87908939597,8.807187908939596,6.982421875e-10,656243850.7574028,832,13,16,4,12,15,p1e_g00,train
p1e_g00_t3_b1_p0,src_02,silicon_die_upper,0,5.80264260288067e-06,0.2708914290568638,0.5417828581137276,93368.29703155669,9.336829703155669,7.989501953125002e-10,678118437.5351651,952,14,17,4,13,16,p1e_g00,train
p1e_g00_t3_b1_p1,src_00,silicon_die_lower,9,5.651257697600464e-06,0.5,3.0,530855.2822274953,53.08552822274953,6.427001953124985e-10,4667806267.806278,702,13,18,3,12,17,p1e_g00,train
p1e_g00_t3_b1_p1,src_01,silicon_die_upper,9,5.202763318143427e-06,0.22910857094313622,1.3746514256588174,264215.6372681879,26.42156372681879,6.982421875e-10,1968731552.2722082,832,13,16,4,12,15,p1e_g00,train
p1e_g00_t3_b1_p1,src_02,silicon_die_upper,0,5.80264260288067e-06,0.2708914290568638,1.6253485743411829,280104.89109467005,28.010489109467006,7.989501953125002e-10,2034355312.6054952,952,14,17,4,13,16,p1e_g00,train
p1e_g00_t3_b1_p2,src_00,silicon_die_lower,9,5.651257697600464e-06,0.5,5.0,884758.8037124923,88.47588037124923,6.427001953124985e-10,7779677113.010465,702,13,18,3,12,17,p1e_g00,train
p1e_g00_t3_b1_p2,src_01,silicon_die_upper,9,5.202763318143427e-06,0.22910857094313622,2.2910857094313624,440359.39544697985,44.03593954469798,6.982421875e-10,3281219253.787014,832,13,16,4,12,15,p1e_g00,train
p1e_g00_t3_b1_p2,src_02,silicon_die_upper,0,5.80264260288067e-06,0.2708914290568638,2.708914290568638,466841.48515778343,46.68414851577835,7.989501953125002e-10,3390592187.6758256,952,14,17,4,13,16,p1e_g00,train
p1e_g00_t3_b1_p3,src_00,silicon_die_lower,9,5.651257697600464e-06,0.5,7.0,1238662.3251974892,123.86623251974892,6.427001953124985e-10,10891547958.214651,702,13,18,3,12,17,p1e_g00,train
p1e_g00_t3_b1_p3,src_01,silicon_die_upper,9,5.202763318143427e-06,0.22910857094313622,3.207519993203907,616503.1536257718,61.650315362577174,6.982421875e-10,4593706955.301819,832,13,16,4,12,15,p1e_g00,train
p1e_g00_t3_b1_p3,src_02,silicon_die_upper,0,5.80264260288067e-06,0.2708914290568638,3.7924800067960933,653578.0792208968,65.35780792208968,7.989501953125002e-10,4746829062.746156,952,14,17,4,13,16,p1e_g00,train
p1e_g00_t3_b2_p0,src_00,silicon_die_lower,9,5.651257697600464e-06,0.5,1.0,176951.76074249845,17.695176074249844,6.427001953124985e-10,1555935422.602093,702,13,18,3,12,17,p1e_g00,train
p1e_g00_t3_b2_p0,src_01,silicon_die_upper,9,5.202763318143427e-06,0.22910857094313622,0.45821714188627244,88071.87908939597,8.807187908939596,6.982421875e-10,656243850.7574028,832,13,16,4,12,15,p1e_g00,train
p1e_g00_t3_b2_p0,src_02,silicon_die_upper,0,5.80264260288067e-06,0.2708914290568638,0.5417828581137276,93368.29703155669,9.336829703155669,7.989501953125002e-10,678118437.5351651,952,14,17,4,13,16,p1e_g00,train
p1e_g00_t3_b2_p1,src_00,silicon_die_lower,9,5.651257697600464e-06,0.5,3.0,530855.2822274953,53.08552822274953,6.427001953124985e-10,4667806267.806278,702,13,18,3,12,17,p1e_g00,train
p1e_g00_t3_b2_p1,src_01,silicon_die_upper,9,5.202763318143427e-06,0.22910857094313622,1.3746514256588174,264215.6372681879,26.42156372681879,6.982421875e-10,1968731552.2722082,832,13,16,4,12,15,p1e_g00,train
p1e_g00_t3_b2_p1,src_02,silicon_die_upper,0,5.80264260288067e-06,0.2708914290568638,1.6253485743411829,280104.89109467005,28.010489109467006,7.989501953125002e-10,2034355312.6054952,952,14,17,4,13,16,p1e_g00,train
p1e_g00_t3_b2_p2,src_00,silicon_die_lower,9,5.651257697600464e-06,0.5,5.0,884758.8037124923,88.47588037124923,6.427001953124985e-10,7779677113.010465,702,13,18,3,12,17,p1e_g00,train
p1e_g00_t3_b2_p2,src_01,silicon_die_upper,9,5.202763318143427e-06,0.22910857094313622,2.2910857094313624,440359.39544697985,44.03593954469798,6.982421875e-10,3281219253.787014,832,13,16,4,12,15,p1e_g00,train
p1e_g00_t3_b2_p2,src_02,silicon_die_upper,0,5.80264260288067e-06,0.2708914290568638,2.708914290568638,466841.48515778343,46.68414851577835,7.989501953125002e-10,3390592187.6758256,952,14,17,4,13,16,p1e_g00,train
p1e_g00_t3_b2_p3,src_00,silicon_die_lower,9,5.651257697600464e-06,0.5,7.0,1238662.3251974892,123.86623251974892,6.427001953124985e-10,10891547958.214651,702,13,18,3,12,17,p1e_g00,train
p1e_g00_t3_b2_p3,src_01,silicon_die_upper,9,5.202763318143427e-06,0.22910857094313622,3.207519993203907,616503.1536257718,61.650315362577174,6.982421875e-10,4593706955.301819,832,13,16,4,12,15,p1e_g00,train
p1e_g00_t3_b2_p3,src_02,silicon_die_upper,0,5.80264260288067e-06,0.2708914290568638,3.7924800067960933,653578.0792208968,65.35780792208968,7.989501953125002e-10,4746829062.746156,952,14,17,4,13,16,p1e_g00,train
p1e_g00_t3_b3_p0,src_00,silicon_die_lower,9,5.651257697600464e-06,0.5,1.0,176951.76074249845,17.695176074249844,6.427001953124985e-10,1555935422.602093,702,13,18,3,12,17,p1e_g00,train
p1e_g00_t3_b3_p0,src_01,silicon_die_upper,9,5.202763318143427e-06,0.22910857094313622,0.45821714188627244,88071.87908939597,8.807187908939596,6.982421875e-10,656243850.7574028,832,13,16,4,12,15,p1e_g00,train
p1e_g00_t3_b3_p0,src_02,silicon_die_upper,0,5.80264260288067e-06,0.2708914290568638,0.5417828581137276,93368.29703155669,9.336829703155669,7.989501953125002e-10,678118437.5351651,952,14,17,4,13,16,p1e_g00,train
p1e_g00_t3_b3_p1,src_00,silicon_die_lower,9,5.651257697600464e-06,0.5,3.0,530855.2822274953,53.08552822274953,6.427001953124985e-10,4667806267.806278,702,13,18,3,12,17,p1e_g00,train
p1e_g00_t3_b3_p1,src_01,silicon_die_upper,9,5.202763318143427e-06,0.22910857094313622,1.3746514256588174,264215.6372681879,26.42156372681879,6.982421875e-10,1968731552.2722082,832,13,16,4,12,15,p1e_g00,train
p1e_g00_t3_b3_p1,src_02,silicon_die_upper,0,5.80264260288067e-06,0.2708914290568638,1.6253485743411829,280104.89109467005,28.010489109467006,7.989501953125002e-10,2034355312.6054952,952,14,17,4,13,16,p1e_g00,train
p1e_g00_t3_b3_p2,src_00,silicon_die_lower,9,5.651257697600464e-06,0.5,5.0,884758.8037124923,88.47588037124923,6.427001953124985e-10,7779677113.010465,702,13,18,3,12,17,p1e_g00,train
p1e_g00_t3_b3_p2,src_01,silicon_die_upper,9,5.202763318143427e-06,0.22910857094313622,2.2910857094313624,440359.39544697985,44.03593954469798,6.982421875e-10,3281219253.787014,832,13,16,4,12,15,p1e_g00,train
p1e_g00_t3_b3_p2,src_02,silicon_die_upper,0,5.80264260288067e-06,0.2708914290568638,2.708914290568638,466841.48515778343,46.68414851577835,7.989501953125002e-10,3390592187.6758256,952,14,17,4,13,16,p1e_g00,train
p1e_g00_t3_b3_p3,src_00,silicon_die_lower,9,5.651257697600464e-06,0.5,7.0,1238662.3251974892,123.86623251974892,6.427001953124985e-10,10891547958.214651,702,13,18,3,12,17,p1e_g00,train
p1e_g00_t3_b3_p3,src_01,silicon_die_upper,9,5.202763318143427e-06,0.22910857094313622,3.207519993203907,616503.1536257718,61.650315362577174,6.982421875e-10,4593706955.301819,832,13,16,4,12,15,p1e_g00,train
p1e_g00_t3_b3_p3,src_02,silicon_die_upper,0,5.80264260288067e-06,0.2708914290568638,3.7924800067960933,653578.0792208968,65.35780792208968,7.989501953125002e-10,4746829062.746156,952,14,17,4,13,16,p1e_g00,train
p1e_g01_t0_b0_p0,src_00,silicon_die_lower,5,4.9647079149848365e-06,0.318841796709929,0.637683593419858,128443.32523473451,12.844332523473451,6.152343749999987e-10,1036488888.3522794,672,14,16,3,13,15,p1e_g01,train
p1e_g01_t0_b0_p0,src_01,silicon_die_lower,6,4.564004334784869e-06,0.25395488579394376,0.5079097715878875,111285.99675438929,11.12859967543893,4.833984374999989e-10,1050706274.9616122,528,11,16,3,10,15,p1e_g01,train
p1e_g01_t0_b0_p0,src_02,silicon_die_upper,5,5.2027658535253375e-06,0.22326890089847842,0.44653780179695685,85827.00324566552,8.582700324566552,6.848144531250003e-10,652056626.0821157,816,12,17,4,11,16,p1e_g01,train
p1e_g01_t0_b0_p0,src_03,silicon_die_upper,6,4.652961156536012e-06,0.2039344165976487,0.4078688331952974,87657.90632538684,8.765790632538684,6.445312500000002e-10,632814674.5333096,768,12,16,4,11,15,p1e_g01,train
p1e_g01_t0_b0_p1,src_00,silicon_die_lower,5,4.9647079149848365e-06,0.318841796709929,1.913050780259574,385329.97570420353,38.532997570420356,6.152343749999987e-10,3109466665.056838,672,14,16,3,13,15,p1e_g01,train
p1e_g01_t0_b0_p1,src_01,silicon_die_lower,6,4.564004334784869e-06,0.25395488579394376,1.5237293147636626,333857.9902631678,33.38579902631678,4.833984374999989e-10,3152118824.8848367,528,11,16,3,10,15,p1e_g01,train
p1e_g01_t0_b0_p1,src_02,silicon_die_upper,5,5.2027658535253375e-06,0.22326890089847842,1.3396134053908706,257481.00973699655,25.748100973699657,6.848144531250003e-10,1956169878.2463472,816,12,17,4,11,16,p1e_g01,train
p1e_g01_t0_b0_p1,src_03,silicon_die_upper,6,4.652961156536012e-06,0.2039344165976487,1.2236064995858922,262973.71897616057,26.297371897616056,6.445312500000002e-10,1898444023.599929,768,12,16,4,11,15,p1e_g01,train
p1e_g01_t0_b0_p2,src_00,silicon_die_lower,5,4.9647079149848365e-06,0.318841796709929,3.1884179670992903,642216.6261736726,64.22166261736726,6.152343749999987e-10,5182444441.761397,672,14,16,3,13,15,p1e_g01,train
p1e_g01_t0_b0_p2,src_01,silicon_die_lower,6,4.564004334784869e-06,0.25395488579394376,2.5395488579394376,556429.9837719464,55.64299837719464,4.833984374999989e-10,5253531374.808061,528,11,16,3,10,15,p1e_g01,train
p1e_g01_t0_b0_p2,src_02,silicon_die_upper,5,5.2027658535253375e-06,0.22326890089847842,2.232689008984784,429135.0162283275,42.913501622832754,6.848144531250003e-10,3260283130.4105783,816,12,17,4,11,16,p1e_g01,train
p1e_g01_t0_b0_p2,src_03,silicon_die_upper,6,4.652961156536012e-06,0.2039344165976487,2.039344165976487,438289.53162693424,43.82895316269342,6.445312500000002e-10,3164073372.6665483,768,12,16,4,11,15,p1e_g01,train
p1e_g01_t0_b0_p3,src_00,silicon_die_lower,5,4.9647079149848365e-06,0.318841796709929,4.463785153939006,899103.2766431416,89.91032766431417,6.152343749999987e-10,7255422218.465956,672,14,16,3,13,15,p1e_g01,train
p1e_g01_t0_b0_p3,src_01,silicon_die_lower,6,4.564004334784869e-06,0.25395488579394376,3.5553684011152127,779001.9772807249,77.90019772807248,4.833984374999989e-10,7354943924.731285,528,11,16,3,10,15,p1e_g01,train
p1e_g01_t0_b0_p3,src_02,silicon_die_upper,5,5.2027658535253375e-06,0.22326890089847842,3.1257646125786978,600789.0227196586,60.07890227196586,6.848144531250003e-10,4564396382.57481,816,12,17,4,11,16,p1e_g01,train
p1e_g01_t0_b0_p3,src_03,silicon_die_upper,6,4.652961156536012e-06,0.2039344165976487,2.8550818323670817,613605.3442777079,61.36053442777079,6.445312500000002e-10,4429702721.733168,768,12,16,4,11,15,p1e_g01,train
p1e_g01_t0_b1_p0,src_00,silicon_die_lower,5,4.9647079149848365e-06,0.318841796709929,0.637683593419858,128443.32523473451,12.844332523473451,6.152343749999987e-10,1036488888.3522794,672,14,16,3,13,15,p1e_g01,train
p1e_g01_t0_b1_p0,src_01,silicon_die_lower,6,4.564004334784869e-06,0.25395488579394376,0.5079097715878875,111285.99675438929,11.12859967543893,4.833984374999989e-10,1050706274.9616122,528,11,16,3,10,15,p1e_g01,train
p1e_g01_t0_b1_p0,src_02,silicon_die_upper,5,5.2027658535253375e-06,0.22326890089847842,0.44653780179695685,85827.00324566552,8.582700324566552,6.848144531250003e-10,652056626.0821157,816,12,17,4,11,16,p1e_g01,train
p1e_g01_t0_b1_p0,src_03,silicon_die_upper,6,4.652961156536012e-06,0.2039344165976487,0.4078688331952974,87657.90632538684,8.765790632538684,6.445312500000002e-10,632814674.5333096,768,12,16,4,11,15,p1e_g01,train
p1e_g01_t0_b1_p1,src_00,silicon_die_lower,5,4.9647079149848365e-06,0.318841796709929,1.913050780259574,385329.97570420353,38.532997570420356,6.152343749999987e-10,3109466665.056838,672,14,16,3,13,15,p1e_g01,train
p1e_g01_t0_b1_p1,src_01,silicon_die_lower,6,4.564004334784869e-06,0.25395488579394376,1.5237293147636626,333857.9902631678,33.38579902631678,4.833984374999989e-10,3152118824.8848367,528,11,16,3,10,15,p1e_g01,train
p1e_g01_t0_b1_p1,src_02,silicon_die_upper,5,5.2027658535253375e-06,0.22326890089847842,1.3396134053908706,257481.00973699655,25.748100973699657,6.848144531250003e-10,1956169878.2463472,816,12,17,4,11,16,p1e_g01,train
p1e_g01_t0_b1_p1,src_03,silicon_die_upper,6,4.652961156536012e-06,0.2039344165976487,1.2236064995858922,262973.71897616057,26.297371897616056,6.445312500000002e-10,1898444023.599929,768,12,16,4,11,15,p1e_g01,train
p1e_g01_t0_b1_p2,src_00,silicon_die_lower,5,4.9647079149848365e-06,0.318841796709929,3.1884179670992903,642216.6261736726,64.22166261736726,6.152343749999987e-10,5182444441.761397,672,14,16,3,13,15,p1e_g01,train
p1e_g01_t0_b1_p2,src_01,silicon_die_lower,6,4.564004334784869e-06,0.25395488579394376,2.5395488579394376,556429.9837719464,55.64299837719464,4.833984374999989e-10,5253531374.808061,528,11,16,3,10,15,p1e_g01,train
p1e_g01_t0_b1_p2,src_02,silicon_die_upper,5,5.2027658535253375e-06,0.22326890089847842,2.232689008984784,429135.0162283275,42.913501622832754,6.848144531250003e-10,3260283130.4105783,816,12,17,4,11,16,p1e_g01,train
p1e_g01_t0_b1_p2,src_03,silicon_die_upper,6,4.652961156536012e-06,0.2039344165976487,2.039344165976487,438289.53162693424,43.82895316269342,6.445312500000002e-10,3164073372.6665483,768,12,16,4,11,15,p1e_g01,train
p1e_g01_t0_b1_p3,src_00,silicon_die_lower,5,4.9647079149848365e-06,0.318841796709929,4.463785153939006,899103.2766431416,89.91032766431417,6.152343749999987e-10,7255422218.465956,672,14,16,3,13,15,p1e_g01,train
